ID-Vehiculo,ID-Origen,ID-Destino,Lon-Origen,Lat-Origen,Lon-Destino,Lat-Destino,Type-Origen,Type-Destino
1,5,29,-74.13826337931849,4.607707046760958,-74.12463941285208,4.615869066082658,Depot,Client
1,29,5,-74.12463941285208,4.615869066082658,-74.13826337931849,4.607707046760958,Client,Depot
2,12,36,-74.12408925943333,4.5791740634103135,-74.12629327283491,4.577489966973782,Depot,Client
2,36,12,-74.12629327283491,4.577489966973782,-74.12408925943333,4.5791740634103135,Client,Depot
3,7,34,-74.09561875464892,4.621911772492814,-74.08683592702927,4.625425626584072,Depot,Client
3,34,7,-74.08683592702927,4.625425626584072,-74.09561875464892,4.621911772492814,Client,Depot
4,10,28,-74.10991610076434,4.550640992537941,-74.11138839002187,4.557320898243896,Depot,Client
4,28,10,-74.11138839002187,4.557320898243896,-74.10991610076434,4.550640992537941,Client,Depot
5,9,15,-74.09547235719887,4.735973062153282,-74.10708524062704,4.70949446000624,Depot,Client
5,15,35,-74.10708524062704,4.70949446000624,-74.11652648751144,4.731406773645735,Client,Client
5,24,1,-74.1015410917749,4.7564172406324055,-74.08124218159384,4.75021190869025,Client,Depot
5,26,32,-74.1219200708342,4.725912125314368,-74.121866801394,4.746624762561149,Client,Client
5,32,24,-74.121866801394,4.746624762561149,-74.1015410917749,4.7564172406324055,Client,Client
5,35,26,-74.11652648751144,4.731406773645735,-74.1219200708342,4.725912125314368,Client,Client
6,10,22,-74.10991610076434,4.550640992537941,-74.09041145358674,4.557379705282216,Depot,Client
6,22,10,-74.09041145358674,4.557379705282216,-74.10991610076434,4.550640992537941,Client,Depot
7,5,21,-74.13826337931849,4.607707046760958,-74.15615257246444,4.606310650273935,Depot,Client
7,17,18,-74.16464148202755,4.648463876533332,-74.12083799988112,4.662137416953968,Client,Client
7,18,30,-74.12083799988112,4.662137416953968,-74.12456164551857,4.656402930181292,Client,Client
7,20,17,-74.17207549744595,4.649416884236942,-74.16464148202755,4.648463876533332,Client,Client
7,21,20,-74.15615257246444,4.606310650273935,-74.17207549744595,4.649416884236942,Client,Client
7,30,6,-74.12456164551857,4.656402930181292,-74.12400186370824,4.650463053612691,Client,Depot
8,7,16,-74.09561875464892,4.621911772492814,-74.09727965657427,4.605029068682624,Depot,Client
8,13,27,-74.09893796560621,4.59795431125545,-74.0942948461378,4.604168478560718,Client,Client
8,16,13,-74.09727965657427,4.605029068682624,-74.09893796560621,4.59795431125545,Client,Client
8,27,7,-74.0942948461378,4.604168478560718,-74.09561875464892,4.621911772492814,Client,Depot
9,8,25,-74.10975623736951,4.678960680833056,-74.09690889182339,4.646217006050524,Depot,Client
9,25,11,-74.09690889182339,4.646217006050524,-74.10977422186991,4.664702960902753,Client,Depot
10,5,23,-74.13826337931849,4.607707046760958,-74.17802255204528,4.591594072172954,Depot,Client
10,23,5,-74.17802255204528,4.591594072172954,-74.13826337931849,4.607707046760958,Client,Depot
11,4,19,-74.06706883098641,4.72167778077445,-74.02213076607309,4.697499030379109,Depot,Client
11,14,4,-74.07557103763986,4.687820646838871,-74.06706883098641,4.72167778077445,Client,Depot
11,19,14,-74.02213076607309,4.697499030379109,-74.07557103763986,4.687820646838871,Client,Client
12,4,31,-74.06706883098641,4.72167778077445,-74.04990580408855,4.706188309535041,Depot,Client
12,31,33,-74.04990580408855,4.706188309535041,-74.02454895778163,4.746517184687941,Client,Client
12,33,3,-74.02454895778163,4.746517184687941,-74.03854814565923,4.792925960208614,Client,Depot
