ID-Vehiculo,ID-Origen,ID-Destino,Lon-Origen,Lat-Origen,Lon-Destino,Lat-Destino,Type-Origen,Type-Destino
1,9,19,-74.09547235719887,4.735973062153282,-74.10178731827096,4.732421040989568,Depot,Client
1,19,1,-74.10178731827096,4.732421040989568,-74.08124218159384,4.75021190869025,Client,Depot
2,10,21,-74.10991610076434,4.550640992537941,-74.08665709611086,4.574297477559144,Depot,Client
2,21,12,-74.08665709611086,4.574297477559144,-74.12408925943333,4.5791740634103135,Client,Depot
3,6,18,-74.12400186370824,4.650463053612691,-74.12751619352659,4.630489482968551,Depot,Client
3,18,6,-74.12751619352659,4.630489482968551,-74.12400186370824,4.650463053612691,Client,Depot
4,5,17,-74.13826337931849,4.607707046760958,-74.19486224157397,4.638612189685843,Depot,Client
4,13,7,-74.19699184741948,4.632552840424734,-74.09561875464892,4.621911772492814,Client,Depot
4,17,13,-74.19486224157397,4.638612189685843,-74.19699184741948,4.632552840424734,Client,Client
5,9,14,-74.09547235719887,4.735973062153282,-74.12032773611021,4.719616298449461,Depot,Client
5,14,15,-74.12032773611021,4.719616298449461,-74.11027242131048,4.727691608175209,Client,Client
5,15,4,-74.11027242131048,4.727691608175209,-74.06706883098641,4.72167778077445,Client,Depot
6,4,16,-74.06706883098641,4.72167778077445,-74.06815337963502,4.712202539809157,Depot,Client
6,16,20,-74.06815337963502,4.712202539809157,-74.0328033058973,4.703342234821396,Client,Client
6,20,3,-74.0328033058973,4.703342234821396,-74.03854814565923,4.792925960208614,Client,Depot
